Restaurant_name,Online_delivery_available,Restaurant_price_range,Restaurants_rating_text,Restaurants_aggregate_rating,Cuisines,Average_cost_for_two,Table_booking,Location_city,Restaurant_locality
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
Cha Bar,No,2,Good,4,Cafe,500,No,New Delhi,Connaught Place
